Source URL,YouTube URL
https://www.youtube.com/about/copyright/,https://www.youtube.com/premium/
https://www.youtube.com/about/copyright/,https://www.youtube.com/ads/youtube-select/
https://www.youtube.com/about/copyright/,https://www.youtube.com/ads/
https://www.youtube.com/about/copyright/,https://www.youtube.com/yt/family/
https://www.youtube.com/about/copyright/,https://www.youtube.com/creatorresearch/
https://www.youtube.com/about/copyright/,https://www.youtube.com/creators/
https://www.youtube.com/about/copyright/,https://www.youtube.com/nextup/
https://www.youtube.com/about/copyright/,https://www.youtube.com/creators-for-change/
https://www.youtube.com/about/copyright/,https://www.youtube.com/csai-match/
https://www.youtube.com/about/copyright/,https://www.youtube.com/about/policies/
https://www.youtube.com/about/copyright/,https://www.youtube.com/about/copyright/
https://www.youtube.com/about/copyright/,https://www.youtube.com/about/brand-resources/
https://www.youtube.com/about/copyright/,https://www.youtube.com/t/terms
https://www.youtube.com/creators/,https://www.youtube.com/creators/safety/
https://www.youtube.com/creators/,https://www.youtube.com/feed/trending
https://www.youtube.com/creators/,https://www.youtube.com/feed/trending
https://www.youtube.com/creators/,https://www.youtube.com/c/YouTubeCreatorsIndia
https://www.youtube.com/creators/,https://www.youtube.com/channel/UCGg-UqjRgzhYDPJMr-9HXCg
https://www.youtube.com/ads/,https://www.youtube.com/about/
https://www.youtube.com/ads/,https://www.youtube.com/howyoutubeworks/
https://www.youtube.com/ads/,https://www.youtube.com/jobs/
https://www.youtube.com/ads/,https://www.youtube.com/trends/
https://www.youtube.com/ads/,https://www.youtube.com/kids/
https://www.youtube.com/ads/,https://www.youtube.com/musicpremium
https://www.youtube.com/ads/,https://www.youtube.com/channel/UCqVDpXKLmKeBU_yyt_QkItQ
https://www.youtube.com/ads/,https://www.youtube.com/premium/
https://www.youtube.com/ads/,https://www.youtube.com/ads/youtube-select/
https://www.youtube.com/ads/,https://www.youtube.com/ads/
https://www.youtube.com/ads/,https://www.youtube.com/yt/family/
https://www.youtube.com/ads/,https://www.youtube.com/creatorresearch/
https://www.youtube.com/ads/,https://www.youtube.com/creators/
https://www.youtube.com/ads/,https://www.youtube.com/nextup/
https://www.youtube.com/ads/,https://www.youtube.com/creators-for-change/
https://www.youtube.com/ads/,https://www.youtube.com/csai-match/
https://www.youtube.com/ads/,https://www.youtube.com/about/
https://www.youtube.com/ads/,https://www.youtube.com/howyoutubeworks/
https://www.youtube.com/ads/,https://www.youtube.com/jobs/
https://www.youtube.com/ads/,https://www.youtube.com/trends/
https://www.youtube.com/ads/,https://www.youtube.com/kids/
https://www.youtube.com/ads/,https://www.youtube.com/musicpremium
https://www.youtube.com/ads/,https://www.youtube.com/channel/UCqVDpXKLmKeBU_yyt_QkItQ
https://www.youtube.com/ads/,https://www.youtube.com/premium/
https://www.youtube.com/ads/,https://www.youtube.com/ads/youtube-select/
https://www.youtube.com/ads/,https://www.youtube.com/ads/
https://www.youtube.com/ads/,https://www.youtube.com/yt/family/
https://www.youtube.com/ads/,https://www.youtube.com/creatorresearch/
https://www.youtube.com/ads/,https://www.youtube.com/creators/
https://www.youtube.com/ads/,https://www.youtube.com/nextup/
https://www.youtube.com/ads/,https://www.youtube.com/creators-for-change/
